"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"2518079e-a31e-5083-d378-333388b7740b","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 17:05:55","2023-11-27 17:10:14",""
"adf1e532-b677-ac9b-3ad4-d1da5cd5a1a4","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 17:04:20","2023-11-27 17:10:56",""
"1305886c-a170-c0fe-ce8a-bc2e8b0575f9","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 17:04:10","2023-11-27 17:10:57",""
"328ee7b8-e9b3-af3c-455e-d3a5c6163e2d","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:04:08","2023-11-27 17:15:14",""
"03d9c147-c76b-ba1b-12a1-f5f2338b56d2","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 17:02:59","2023-11-27 17:05:15",""
"41f22936-b258-52d5-39d0-1dd92e2ca7dc","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 17:02:18","2023-11-27 17:10:57",""
"623ebab5-2533-cc79-f553-8e153c99b22b","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 17:01:38","2023-11-27 17:05:14",""
"622990af-99aa-f827-e249-a402903b4c4b","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 17:00:20","2023-11-27 17:05:15",""
"50364bc1-a69f-2edd-fd27-7f1d3e1e3356","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:59:32","2023-11-27 17:40:15",""
"344d6d6e-1a7d-d887-8788-59668d0b0cfb","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:57:27","2023-11-27 17:00:19",""
"d56cda20-d4c8-1471-a6c6-ee4708ea02b5","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 16:52:20","2023-11-27 16:55:15",""
"8860c14f-8dc2-06a6-aaa9-f54b29865bd7","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:51:27","2023-11-27 16:55:15",""
"b1010c76-1e7e-e4a1-cb90-382a0a7f88e3","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:50:04","2023-11-27 16:55:31",""
"7455776f-c4fb-92fe-9f89-437e95ed53f9","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:49:23","2023-11-27 16:51:19",""
"e641a9b1-ef71-be22-8b57-9d6a79193e45","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:47:44","2023-11-27 16:55:31",""
"cd6a70ef-a3c8-6065-a009-4441cbe5b47a","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 16:47:11","2023-11-27 16:50:50",""
"7385d656-1c0e-dbe7-4fb0-e2aeae608bc1","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:46:31","2023-11-27 16:55:31",""
"3aefcd18-cd46-b4dd-25fe-f9c47fe41b82","Screenout","Screenout","Live","URUGUAY & OCA","Cint","2023-11-27 16:43:48","2023-11-27 17:51:03",""
"ec866dd1-9631-1b06-4c37-59adb7b20044","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:43:29","2023-11-27 16:50:50",""
"7b496334-6cd3-0fbb-83d2-57628852bad0","TimedOut","TimedOut","Live","URUGUAY & OCA","Cint","2023-11-27 16:42:27","2023-11-27 17:51:03",""
"bf85afc9-212a-cac6-4f2f-9baebc8cf75f","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 16:41:54","2023-11-27 16:45:15",""
"49f181a4-621d-e9ea-3b42-b5dab989f449","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:41:44","2023-11-27 16:45:15",""
"b9b14d8f-1fb6-c3e4-4469-799a5e04c918","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:38:24","2023-11-27 16:45:20",""
"5a369d3b-5077-231b-c3dd-a91d78d486ae","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 16:37:11","2023-11-27 16:40:15",""
"1a724b9e-8953-f36f-8778-7f5907175c09","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:36:38","2023-11-27 16:45:20",""
"f2fd86f9-a6a4-3422-081f-b2d6d50bb064","Screenout","Screenout","Live","URUGUAY & OCA","Cint","2023-11-27 16:34:36","2023-11-27 16:41:13",""
"5c85f2f3-0b4f-4022-7015-c6ae25019d1b","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:34:35","2023-11-27 16:36:19",""
"849eccfb-3707-6a30-6b1d-f8b5d3d2e16e","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:34:10","2023-11-27 16:41:13",""
"1eb5d7a3-f1ab-7772-4045-e39e4377e736","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:33:50","2023-11-27 16:41:13",""
"575b3a01-e162-997d-aee7-0e705bbe3794","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:33:43","2023-11-27 16:36:19",""
"1f6c21e1-0dce-d264-9907-15478a2edb77","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:33:10","2023-11-27 16:35:15",""
"9a28d370-6db8-c2ea-dd96-e7033cb274e5","Complete","Complete","Live","Target group 1","Cint","2023-11-27 16:32:03","2023-11-27 16:41:13",""
"21783a50-cf83-2308-8db6-0e53cba019c5","Screenout","Screenout","Live","URUGUAY & OCA","Cint","2023-11-27 16:31:56","2023-11-27 16:35:15",""
"c13a0d3c-b484-1ce2-cfda-3911a18f22ab","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:31:38","2023-11-27 16:35:15",""
"54230cbb-d2b8-1cc7-d65d-38085a940455","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:31:34","2023-11-27 16:41:13",""
"ff9f932c-38b4-ace7-6aca-a7b4b889edca","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:30:20","2023-11-27 16:35:15",""
"13ef4f46-54d0-78d9-1aa0-7bc4801481d3","TimedOut","TimedOut","Live","URUGUAY & OCA","Cint","2023-11-27 16:29:57","2023-11-27 17:31:03",""
"24d55a67-241f-61a0-2081-6efe676bf584","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:29:37","2023-11-27 16:35:59",""
"9b893b04-e507-0a40-7ce2-0fa24dca32e7","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:29:17","2023-11-27 16:35:59",""
"42317adf-cdc6-4d9c-c439-4e1a8d051a34","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:29:00","2023-11-27 16:35:59",""
"e7ab6111-5b52-4848-5ef7-558036918cc0","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:28:21","2023-11-27 16:30:19",""
"c6b42bde-893b-0b2d-4138-1f9ff9e62047","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 16:28:19","2023-11-27 16:30:19",""
"a8bf7e14-7c9a-2e92-4af2-4a94a2d66af5","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:27:23","2023-11-27 16:35:59",""
"48c55d48-3dbf-31f1-30ae-69ee9dd2eb8f","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:26:31","2023-11-27 16:30:50",""
"b68dbc25-e8b6-dd35-78c3-88a6242f31c4","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:25:44","2023-11-27 16:30:15",""
"c5c23c66-6106-5ec0-3780-08e9e198b4fb","Screenout","Screenout","Live","URUGUAY & OCA","Cint","2023-11-27 16:25:44","2023-11-27 16:30:15",""
"d52cc5dd-a20a-49b6-d83b-f10742863530","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:23:49","2023-11-27 16:30:50",""
"900075c6-325a-fcd1-f420-412b8bd0e529","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:23:10","2023-11-27 16:30:50",""
"42123c84-d6b5-b828-e662-08399ec2c11c","QualityTerminate","QualityTerminate","Live","URUGUAY & OCA","Cint","2023-11-27 16:21:54","2023-11-27 16:25:15",""
"52cfaa89-1045-2b6c-3b6f-9ee4e7f70560","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:21:32","2023-11-27 16:25:15",""
"be22180a-9805-9e75-d6ec-2c094d774c9f","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 16:21:31","2023-11-27 16:25:15",""
"ca8c50cf-0988-d149-7829-64a7c2729025","Complete","Complete","Live","URUGUAY & OCA","Cint","2023-11-27 16:21:27","2023-11-27 16:30:50",""
"1f90944a-2a9e-2ed1-64ac-a0bb88f9fedf","Complete","Complete","Live","Target group 1","Cint","2023-11-27 16:21:24","2023-11-27 16:30:49",""
"9887034e-8913-b643-73a8-37ac855a1dd6","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 16:20:08","2023-11-27 16:25:50",""
"077e1ede-bb47-d179-8a38-2a55f477a31d","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:17:52","2023-11-27 16:20:15",""
"b876f2e2-4fb5-03cd-8204-c65dc3879f75","Screenout","Screenout","Live","Target group 1","Cint","2023-11-27 16:17:13","2023-11-27 16:20:15",""
"91451357-47ef-e372-b1b1-276ef4e3d0cf","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:16:46","2023-11-27 16:25:50",""
"9d736a3d-512c-6c61-87db-5e58752e85df","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 16:16:24","2023-11-27 16:20:15",""
"77b60b54-bfbf-679e-42b2-3f9d0f362fc2","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 16:14:37","2023-11-27 16:25:50",""
"85494627-1a9b-2fa8-bdc1-7262be100eb9","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 16:14:07","2023-11-27 16:20:59",""
"62ba1302-e6db-e0a6-4de4-2791c2f7cee7","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:12:44","2023-11-27 16:20:59",""
"6d70b4b4-2c18-4547-8752-805bd27a0421","Complete","Complete","Live","UNION CAPITAL","Cint","2023-11-27 16:12:28","2023-11-27 16:15:19",""
"9826c4e1-9051-3dee-d107-f00d836b4474","Screenout","Screenout","Live","UNION CAPITAL","Cint","2023-11-27 16:12:11","2023-11-27 16:15:15",""
"783f535f-841c-a263-c8b9-6714363e57c8","QualityTerminate","QualityTerminate","Live","Target group 1","Cint","2023-11-27 16:11:27","2023-11-27 16:15:15",""
